parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
2,22,vanilla,dory,7639012,12976,96847,13305192,73802,77386
2,22,jellyfish,mkzg,7461442,5235,73307,25797848,49882,50746
2,22,jellyfish,dory,10327514,13478,109071,16181016,83002,86586
2,23,vanilla,mkzg,8775752,5107,66244,25827812,44418,45250
2,23,vanilla,dory,12003428,13155,101304,16237048,76802,80386
2,23,jellyfish,mkzg,12469102,5386,78308,31650404,53266,54162
2,23,jellyfish,dory,17604125,13513,114008,21925800,86354,89938
2,24,vanilla,mkzg,14831030,5146,70920,31514424,47554,48418
2,24,vanilla,dory,19302715,13770,109042,21921576,82498,86370
2,24,jellyfish,mkzg,22395385,5512,83464,43056524,56754,57682
2,24,jellyfish,dory,29490604,14241,122226,33726244,92402,96274
2,25,vanilla,mkzg,26475777,5428,75751,43228280,50794,51690
2,25,vanilla,dory,34076297,13847,113809,33645288,85706,89578
2,25,jellyfish,mkzg,41654260,5701,88775,66441248,60346,61306
2,25,jellyfish,dory,55063151,14329,127473,57357680,95962,99834
2,26,vanilla,mkzg,48227450,5680,80737,66508516,54138,55066
2,26,vanilla,dory,59115278,14839,121857,57177824,91610,95770
2,26,jellyfish,mkzg,81426161,6124,94241,113813164,64042,65034
2,26,jellyfish,dory,99020256,15564,136001,102955316,102218,106378
