parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
2,22,vanilla,dory,6791650,11631,60404,12966648,43714,47298
2,22,jellyfish,mkzg,7023896,3541,33664,25259492,14306,15202
2,22,jellyfish,dory,10231346,11814,69748,15857896,47778,51362
2,23,vanilla,mkzg,8131852,3700,26038,25106288,11410,12274
2,23,vanilla,dory,12275371,11697,61418,15726240,44146,47730
2,23,jellyfish,mkzg,13188591,3537,35094,30776644,14898,15826
2,23,jellyfish,dory,19142195,11763,71114,21285376,48338,51922
2,24,vanilla,mkzg,15215893,3575,27116,30680872,11874,12770
2,24,vanilla,dory,21141066,12197,65558,21274144,47170,51042
2,24,jellyfish,mkzg,25515967,3589,36524,41822916,15490,16450
2,24,jellyfish,dory,34092004,12234,75606,32294192,51490,55362
2,25,vanilla,mkzg,29480762,3658,28194,41896784,12338,13266
2,25,vanilla,dory,40245966,12110,66572,32520788,47602,51474
2,25,jellyfish,mkzg,50221677,3627,37954,64015948,16082,17074
2,25,jellyfish,dory,66316504,12347,76972,54561804,52050,55922
2,26,vanilla,mkzg,58507541,3815,29272,64039680,12802,13762
2,26,vanilla,dory,71699609,13076,70712,54652224,50626,54786
2,26,jellyfish,mkzg,100895998,3660,39384,108304212,16674,17698
2,26,jellyfish,dory,121904857,13351,81464,98912012,55202,59362
