parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
2,22,vanilla,dory,4963827,12977,96847,13379808,73802,77386
2,22,jellyfish,mkzg,5280524,5260,73307,25833956,49882,50746
2,22,jellyfish,dory,7841133,13466,109071,16063820,83002,86586
2,23,vanilla,mkzg,6168345,5188,66244,25811764,44418,45250
2,23,vanilla,dory,9238903,13124,101304,16199812,76802,80386
2,23,jellyfish,mkzg,10198115,5579,78308,31606292,53266,54162
2,23,jellyfish,dory,15024989,13580,114008,22032736,86354,89938
2,24,vanilla,mkzg,11894288,5130,70920,31514020,47554,48418
2,24,vanilla,dory,16323809,13647,109042,21925864,82498,86370
2,24,jellyfish,mkzg,19968646,5790,83464,43334664,56754,57682
2,24,jellyfish,dory,27231739,14313,122226,33456252,92402,96274
2,25,vanilla,mkzg,23378143,5336,75751,43219204,50794,51690
2,25,vanilla,dory,31097030,14166,113809,33619328,85706,89578
2,25,jellyfish,mkzg,39084532,6005,88775,66192864,60346,61306
2,25,jellyfish,dory,52690136,14373,127473,56454404,95962,99834
2,26,vanilla,mkzg,45888858,5705,80737,66494756,54138,55066
2,26,vanilla,dory,56022577,14811,121857,57068936,91610,95770
2,26,jellyfish,mkzg,78341134,5818,94241,113046564,64042,65034
2,26,jellyfish,dory,96912460,15499,136001,104371660,102218,106378
