nv,M,K,setup_ms,prover_ms,verifier_ms,proof_bytes,comm_sent,comm_recv
22,8,4,50061.819,159834.996,10.105,12232,17286,41496
23,8,4,142381.277,523832.326,12.556,12568,17724,42480
